id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
80;380;3;Winter II;Oil on canvas (relined and waxed);67.5 x 90 cm;1911;\N;48
81;381;3;Herbstlandschaft;Oil on canvas;71 x 99 cm;1911;\N;48
82;382;3;St Georg II;Oil on canvas;107 x 95 cm;1911;\N;49
83;383;3;Komposition IV;Oil on canvas;159.5 x 250.5 cm;1911;\N;48
84;384;3;Improvisation 18 (mit Grabsteinen);Oil on canvas;141 x 120 cm;1911;\N;48
85;387;3;Pastorale;Oil on canvas;105.8 x 156.7 cm;1911;\N;48
86;388;3;Araber III (Mit Krug);Oil on canvas;106 x 158 cm;1911;\N;48
87;389;3;Akt;Oil on canvas;147.3 x 99 cm;1911;\N;48
88;391;3;St Georg III;Oil on canvas;97.5 x 107.5 cm;1911;\N;49
89;394;3;Improvisation 20;Oil on canvas;94.5 x 108 cm;1911;\N;48
90;395;3;Improvisation 21;Oil on canvas;108 x 108 cm;1911;\N;49
91;397;3;Impression V (Park);Oil on canvas;105 x 157 cm;1911;\N;48
92;398;3;Entwurf zu Komposition V;Oil on canvas;94.5 x 139 cm;1911;\N;49
93;400;3;Komposition V;Oil on canvas;190 x 275 cm;1911;\N;49
94;402;3;Improvisation 23 (Troika I);Oil on canvas;110 x 110 cm;1911;\N;49
95;403;3;Studie für Landschaft mit zwei Pappeln;Oil on cardboard;33.1 x 44.7 cm;1911;\N;48
96;405;3;Bild mit Kreis;Oil on canvas;200 x 150 cm;1911;\N;49
97;412;3;Allerheiligen I;Hinterglasbild;34.5 x 40.5 cm;1911;\N;48
98;423;3;Apokalyptische Reiter I;Hinterglasbild;29.5 x 20.3 cm;1911;\N;48
99;425;3;Sintflut (zu Komposition VI);Hinterglasbild;\N;1911;\N;48
100;426;3;Studie für Improvisation 24 (Troika II);Oil on cardboard;49 x 67.5 cm;1912;\N;49
101;427;3;Improvisation 24 (Troika II);Oil (support unknown);\N;1912;\N;49
102;428;3;Improvisation 25 (Garten der Liebe I);Oil on canvas;48 x 67.5 cm;1912;\N;49
103;429;3;Improvisation 26 (Rudern);Oil on canvas;97 x 107.5 cm;1912;\N;49
104;430;3;Improvisation 27 (Garten der Liebe II);Oil on canvas;120 x 140 cm;1912;\N;48
105;431;3;Improvisation 28 (Erste Fassung);Oil (support unknown);\N;1912;\N;\N
106;435;3;Schwarzer Fleck I;Oil on canvas;100 x 130 cm;1912;\N;49
107;436;3;Bild mit schwarzem Bogen;Oil on canvas;188 x 196 cm;1912;\N;49
108;437;3;Landschaft mit zwei Pappeln;Oil on canvas;78 x 100 cm;1912;\N;48
109;438;3;Herbst II;Oil on canvas;60 x 82 cm;1912;\N;48
110;441;3;Improvisation 29;Oil on canvas;95 x 107.5 cm;1912;\N;49
111;452;3;Improvisation 30 (Kanonen);Oil on canvas;110 x 110 cm;1913;\N;48
112;453;3;Entwurf I zu Bild mit weissem Rand (Moskau);Oil on canvas;100 x 78 cm;1913;\N;49
113;454;3;Entwurf II zu Bild mit weissem Rand (Moskau);Oil on cardboard mounted on panel;70 x 104 cm;1913;\N;49
114;455;3;Improvisation 31 (Seeschlacht);Oil on canvas;140 x 120 cm;1913;\N;48
115;456;3;Entwurf zu Bild mit weisser Form;Oil on canvas;100 x 88 cm;1913;\N;48
116;460;3;Landschaft mit roten Flecken II;Oil on canvas;114 x 135 cm;1913;\N;48
117;464;3;Komposition VI;Oil on canvas;195 x 300 cm;1913;\N;49
118;467;3;Landschaft (Dünaberg bei Murnau);Oil on canvas;88 x 100 cm;1913;\N;48
119;468;3;Bild mit grüner Mitte;Oil on canvas;110 x 119.5 cm;1913;\N;49
120;469;3;Improvisation 34 (Orient II);Oil on canvas;120 x 140 cm;1913;\N;49
121;470;3;Bild mit weissen Linien;Oil on canvas;120 x 110 cm;1913;\N;49
122;476;3;Komposition VII;Oil on canvas;200 x 300 cm;1913;\N;49
123;477;3;Improvisation mit rot-blauem Ring;Oil on canvas;120 x 110 cm;1913;\N;49
124;478;3;Träumerische Improvisation;Oil on canvas;130 x 130 cm;1913;\N;49
125;480;3;Schwarze Striche I;Oil on canvas;129.4 x 131.1 cm;1913;\N;49
126;484;3;Kleines Bild mit Gelb;Oil on canvas;78 x 100 cm;1914;\N;49
